,Missing Values,Missing %
accommodates,0,0.0
amenities,0,0.0
availability_30,0,0.0
availability_365,0,0.0
availability_60,0,0.0
availability_90,0,0.0
availability_eoy,0,0.0
bathrooms,45,9.18
bathrooms_text,4,0.82
bedrooms,112,22.86
beds,44,8.98
calculated_host_listings_count,0,0.0
calculated_host_listings_count_entire_homes,0,0.0
calculated_host_listings_count_private_rooms,0,0.0
calculated_host_listings_count_shared_rooms,0,0.0
calendar_last_scraped,0,0.0
calendar_updated,490,100.0
description,9,1.84
estimated_occupancy_l365d,0,0.0
estimated_revenue_l365d,32,6.53
first_review,60,12.24
has_availability,5,1.02
host_about,230,46.94
host_acceptance_rate,490,100.0
host_has_profile_pic,0,0.0
host_id,0,0.0
host_identity_verified,0,0.0
host_is_superhost,0,0.0
host_listings_count,0,0.0
host_location,142,28.98
host_name,0,0.0
host_neighbourhood,490,100.0
host_picture_url,0,0.0
host_profile_id,0,0.0
host_profile_url,0,0.0
host_response_rate,490,100.0
host_response_time,490,100.0
host_since,490,100.0
host_thumbnail_url,490,100.0
host_total_listings_count,490,100.0
host_url,0,0.0
host_verifications,490,100.0
hosts_time_as_host_months,0,0.0
hosts_time_as_host_years,0,0.0
hosts_time_as_user_months,0,0.0
hosts_time_as_user_years,0,0.0
id,0,0.0
instant_bookable,490,100.0
last_review,60,12.24
last_scraped,0,0.0
latitude,0,0.0
license,490,100.0
listing_url,0,0.0
longitude,0,0.0
maximum_maximum_nights,1,0.2
maximum_minimum_nights,1,0.2
maximum_nights,1,0.2
maximum_nights_avg_ntm,0,0.0
minimum_maximum_nights,1,0.2
minimum_minimum_nights,1,0.2
minimum_nights,1,0.2
minimum_nights_avg_ntm,0,0.0
name,0,0.0
neighborhood_overview,490,100.0
neighbourhood,490,100.0
neighbourhood_cleansed,0,0.0
neighbourhood_group_cleansed,490,100.0
number_of_reviews,0,0.0
number_of_reviews_l30d,0,0.0
number_of_reviews_ltm,0,0.0
number_of_reviews_ly,0,0.0
picture_url,0,0.0
price,32,6.53
price_quote_checkin_date,22,4.49
price_quote_checkout_date,22,4.49
price_quote_price_per_night,32,6.53
price_quote_raw,22,4.49
price_quote_total_price,32,6.53
property_type,0,0.0
review_scores_accuracy,60,12.24
review_scores_checkin,60,12.24
review_scores_cleanliness,60,12.24
review_scores_communication,60,12.24
review_scores_location,60,12.24
review_scores_rating,60,12.24
review_scores_value,60,12.24
reviews_per_month,60,12.24
room_type,0,0.0
scrape_id,0,0.0
source,0,0.0
